Genero,avg(Precio)
Action;Adventure;Indie;Early Access,7.2925953687602325
Action;Adventure;Indie;Massively Multiplayer,6.139999985694885
Action;Adventure;Indie;Massively Multiplayer;Early Access,11.339999854564667
Action;Adventure;Indie;Massively Multiplayer;RPG,11.913846524862143
Action;Adventure;Indie;Massively Multiplayer;RPG;Early Access,10.923333174652523
Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation,10.989999771118164
Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Early Access,8.65666643778483
Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Strategy,19.489999771118164
Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access,15.739999771118164
Action;Adventure;Indie;Massively Multiplayer;RPG;Strategy;Early Access,2.7899999618530273
Action;Adventure;Indie;Massively Multiplayer;Racing;Simulation,3.990000009536743
Action;Adventure;Indie;Massively Multiplayer;Simulation,2.4400000125169754
Action;Adventure;Indie;Massively Multiplayer;Simulation;Early Access,9.112857069287982
Action;Adventure;Indie;Massively Multiplayer;Simulation;Strategy,2.950000047683716
Action;Adventure;Indie;Massively Multiplayer;Simulation;Strategy;Early Access,29.989999771118164
Action;Adventure;Indie;RPG,7.183154508142441
Action;Adventure;Indie;RPG;Early Access,8.561574020319515
Action;Adventure;Indie;RPG;Simulation,6.345999968051911
Action;Adventure;Indie;RPG;Simulation;Early Access,11.7450000166893
Action;Adventure;Indie;RPG;Simulation;Sports,14.989999771118164
Action;Adventure;Indie;RPG;Simulation;Sports;Strategy,5.190000057220459
Action;Adventure;Indie;RPG;Simulation;Strategy,9.52999986410141
Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access,8.902499914169312
Action;Adventure;Indie;RPG;Sports,11.390000343322754
Action;Adventure;Indie;RPG;Sports;Strategy;Early Access,6.989999771118164
Action;Adventure;Indie;RPG;Strategy,6.345740692483054
Action;Adventure;Indie;RPG;Strategy;Early Access,5.793499976396561
Action;Adventure;Indie;Racing,4.625294047243455
Action;Adventure;Indie;Racing;Early Access,7.189999938011169
Action;Adventure;Indie;Racing;RPG,5.190000057220459
Action;Adventure;Indie;Racing;RPG;Simulation;Early Access,15.489999771118164
Action;Adventure;Indie;Racing;RPG;Sports,5.190000057220459
Action;Adventure;Indie;Racing;RPG;Strategy,2.890000104904175
Action;Adventure;Indie;Racing;Simulation,4.164999961853027
Action;Adventure;Indie;Racing;Simulation;Early Access,19.489999771118164
Action;Adventure;Indie;Racing;Simulation;Sports,2.7899999618530273
Action;Adventure;Indie;Racing;Simulation;Sports;Early Access,11.239999771118164
Action;Adventure;Indie;Racing;Sports,4.456666707992554
Action;Adventure;Indie;Racing;Sports;Strategy,2.7899999618530273
Action;Adventure;Indie;Racing;Strategy,1.8400000631809235
Action;Adventure;Indie;Simulation,6.177926805688114
Action;Adventure;Indie;Simulation;Early Access,9.615555483433935
Action;Adventure;Indie;Simulation;Sports,6.39000004529953
Action;Adventure;Indie;Simulation;Sports;Early Access,1.590000033378601
Action;Adventure;Indie;Simulation;Strategy,7.023333283265432
Action;Adventure;Indie;Simulation;Strategy;Early Access,9.949999904632568
Action;Adventure;Indie;Sports,3.7300000548362733
Action;Adventure;Indie;Sports;Early Access,5.990000009536743
Action;Adventure;Indie;Strategy,5.561607119228158
Action;Adventure;Indie;Strategy;Early Access,9.12076917061439
Action;Adventure;Massively Multiplayer,15.65666683514913
Action;Adventure;Massively Multiplayer;Early Access,3.440000057220459
Action;Adventure;Massively Multiplayer;RPG,7.456666787465413
Action;Adventure;Massively Multiplayer;RPG;Early Access,15.415000259876251
Action;Adventure;Massively Multiplayer;RPG;Simulation;Early Access,8.460000038146973
Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,20.656667073567707
Action;Adventure;Massively Multiplayer;RPG;Strategy;Early Access,11.390000343322754
Action;Adventure;Massively Multiplayer;Racing;Early Access,5.789999961853027
Action;Adventure;Massively Multiplayer;Racing;Simulation,4.789999961853027
Action;Adventure;Massively Multiplayer;Simulation,13.239999771118164
Action;Adventure;Massively Multiplayer;Simulation;Early Access,12.290000468492508
Action;Adventure;Massively Multiplayer;Simulation;Strategy;Early Access,7.420000076293945
Action;Adventure;Massively Multiplayer;Strategy;Early Access,15.489999771118164
Action;Adventure;RPG,12.945679009696583
Action;Adventure;RPG;Early Access,9.945555422041151
Action;Adventure;RPG;Simulation,0.7900000214576721
Action;Adventure;RPG;Simulation;Sports;Strategy,0.0
Action;Adventure;RPG;Simulation;Strategy,10.889999866485596
Action;Adventure;RPG;Sports;Early Access,15.489999771118164
Action;Adventure;RPG;Strategy,6.418571429593222
Action;Adventure;RPG;Strategy;Early Access,3.990000009536743
Action;Adventure;Racing,8.439999915659428
Action;Adventure;Racing;Early Access,4.990000009536743
Action;Adventure;Racing;RPG,19.489999771118164
Action;Adventure;Racing;RPG;Simulation,4.989999771118164
Action;Adventure;Racing;Simulation;Early Access,9.739999890327454
Action;Adventure;Racing;Simulation;Strategy,7.190000057220459
Action;Adventure;Simulation,6.120833297570546
Action;Adventure;Simulation;Early Access,10.08999981880188
Action;Adventure;Simulation;Strategy,4.110000085830689
Action;Adventure;Simulation;Strategy;Early Access,11.390000343322754
Action;Adventure;Sports,6.090000182390213
Action;Adventure;Strategy,7.372608708298725
Action;Adventure;Strategy;Early Access,3.990000009536743
Action;Casual,4.2582177885688175
Action;Casual;Early Access,1.7174999862909317
Action;Casual;Free to Play,0.5700000013623919
Action;Casual;Free to Play;Indie,0.0
Action;Casual;Free to Play;Indie;Early Access,0.0
Action;Casual;Free to Play;Indie;Massively Multiplayer,0.7950000166893005
Action;Casual;Free to Play;Indie;Massively Multiplayer;Early Access,0.0
Action;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy,0.0
Action;Casual;Free to Play;Indie;Massively Multiplayer;Simulation,0.0
Action;Casual;Free to Play;Indie;RPG,0.0
Action;Casual;Free to Play;Indie;RPG;Simulation;Strategy,2.0
Action;Casual;Free to Play;Indie;RPG;Sports;Early Access,0.0
Action;Casual;Free to Play;Indie;RPG;Strategy,0.0
Action;Casual;Free to Play;Indie;Racing,0.0
Action;Casual;Free to Play;Indie;Racing;Simulation;Sports;Early Access,0.0
Action;Casual;Free to Play;Indie;Racing;Sports;Early Access,0.0
Action;Casual;Free to Play;Indie;Simulation,0.0
Action;Casual;Free to Play;Indie;Simulation;Sports,0.0
Action;Casual;Free to Play;Indie;Simulation;Sports;Early Access,0.0
Action;Casual;Free to Play;Indie;Simulation;Strategy,0.0
Action;Casual;Free to Play;Indie;Simulation;Strategy;Early Access,0.0
Action;Casual;Free to Play;Indie;Sports,0.0
Action;Casual;Free to Play;Indie;Strategy,1.4237500429153442
Action;Casual;Free to Play;Indie;Strategy;Early Access,3.990000009536743
Action;Casual;Free to Play;Massively Multiplayer,0.0
Action;Casual;Free to Play;Massively Multiplayer;Simulation;Sports,0.0
Action;Casual;Free to Play;Massively Multiplayer;Simulation;Strategy,0.0
Action;Casual;Free to Play;Massively Multiplayer;Sports,0.0
Action;Casual;Free to Play;Massively Multiplayer;Strategy;Early Access,0.0
Action;Casual;Free to Play;RPG;Simulation;Strategy,0.0
Action;Casual;Free to Play;Simulation;Early Access,0.0
Action;Casual;Free to Play;Simulation;Strategy,0.0
Action;Casual;Free to Play;Strategy,0.0
Action;Casual;Indie,3.3329979394862783
Action;Casual;Indie;Early Access,5.305909045717933
Action;Casual;Indie;Massively Multiplayer,4.490000057220459
Action;Casual;Indie;Massively Multiplayer;Early Access,2.3900000154972076
Action;Casual;Indie;Massively Multiplayer;RPG;Early Access,5.590000033378601
