name,avg_total_playtime
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,1.02E9
NBA 2K19,1.01535E9
The Wolf Among Us,1.0125E9
Tom Clancy's Rainbow Six Vegas 2,1.01175E9
Rebuild 3: Gangs of Deadsville,1.0056E9
Age of Mythology: Extended Edition,1.002E9
The Tiny Bang Story,9.94E8
Bloons TD 6,9.8665E8
/ Chinese Parents,9.78E8
Hacknet,9.73E8
Reus,9.6975E8
Secret World Legends,9.675E8
Spiral Knights,9.625E8
Guns of Icarus Online,9.625E8
Endless Space 2,9.585E8
Sleeping Dogs: Definitive Edition,9.54E8
Dark Messiah of Might & Magic,9.51E8
Scribblenauts Unlimited,9.45E8
Natural Selection 2,9.405E8
Mitos.is: The Game,9.38E8
Portal Knights,9.3075E8
Cuphead,9.3E8
Atlas Reactor,9.3E8
LIGHTNING RETURNS: FINAL FANTASY XIII,9.2365E8
Dragon Cliff,9.233E8
Watch_Dogs 2,9.2325E8
ORION: Prelude,9.205E8
Mass Effect,9.18E8
Mirror's Edge,9.1E8
Blood and Bacon,9.0225E8
Jurassic World Evolution,9.0075E8
Warp Rider,8.8634E8
Watch_Dogs,8.82E8
Plague Inc: Evolved,8.775E8
Business Tour - Board Game with Online Multiplayer,8.76E8
Kingdom: Classic,8.75E8
Farming Simulator 19,8.73E8
Baldur's Gate II: Enhanced Edition,8.7225E8
Assassin's Creed Revelations,8.6475E8
BioShock Remastered,8.645E8
Magic 2014  Duels of the Planeswalkers,8.6175E8
Surviving Mars,8.589E8
Armello,8.5875E8
Mafia III,8.46E8
Alien: Isolation,8.445E8
Tales of Berseria,8.393E8
RAGE,8.385E8
Alan Wake,8.365E8
HELLDIVERS A New Hell Edition,8.34E8
UFO: Afterlight,8.33E8
Dead Rising 2,8.31E8
"Warhammer 40,000: Dawn of War - Dark Crusade",8.145E8
Red Crucible: Firestorm,8.12E8
Wolfenstein: The New Order,8.085E8
resident evil 4 / biohazard 4,8.0475E8
Wargame: Airland Battle,8.0175E8
DmC: Devil May Cry,7.995E8
DISTRAINT: Deluxe Edition,7.98E8
Layers of Fear,7.945E8
Realm Grinder,7.935E8
INTERSHELTER,7.93125E8
Company of Heroes: Tales of Valor,7.91E8
Bloons TD Battles,7.89E8
Tales from the Borderlands,7.86E8
Dream Of Mirror Online,7.8555E8
Pillars of Eternity II: Deadfire,7.819E8
Orwell: Keeping an Eye On You,7.805E8
Big Bang Empire,7.7895E8
My Summer Car,7.6685E8
Half-Life Deathmatch: Source,7.65E8
HEX: Shards of Fate,7.63E8
The Guild II,7.605E8
SCP: Secret Laboratory,7.56E8
Broforce,7.47E8
Risen,7.455E8
S.T.A.L.K.E.R.: Shadow of Chernobyl,7.395E8
Age of Wonders III,7.38E8
Ravenfield,7.3325E8
DiRT Rally,7.32E8
Grand Theft Auto: Vice City,7.315E8
Tree of Life,7.299E8
X3: Terran Conflict,7.29E8
Two Worlds Epic Edition,7.26E8
Plants vs. Zombies GOTY Edition,7.2E8
Totally Accurate Battlegrounds,7.17E8
Trackmania United Forever Star Edition,7.161E8
Far Cry Primal,7.1175E8
Zombie Panic! Source,7.11E8
Jotun: Valhalla Edition,7.105E8
The Crew 2,7.1015E8
Stronghold HD,7.095E8
PC Building Simulator,7.0735E8
Wurm Unlimited,7.063E8
The Bureau: XCOM Declassified,7.035E8
Need For Speed: Hot Pursuit,7.005E8
Max Payne 3,6.96E8
Magic 2015 - Duels of the Planeswalkers,6.951E8
MOBIUS FINAL FANTASY,6.93E8
Wolfenstein II: The New Colossus,6.9075E8
Half-Life 2: Lost Coast,6.9E8
Fishing Planet,6.86E8
Anno 2205,6.755E8
Yet Another Zombie Defense,6.72E8
The Elder Scrolls: Legends,6.72E8
Hotline Miami 2: Wrong Number,6.705E8
Digimon Masters Online,6.705E8
Valkyria Chronicles,6.69E8
FINAL FANTASY IX,6.6885E8
Codename CURE,6.685E8
Danganronpa 2: Goodbye Despair,6.6815E8
Worms Revolution,6.675E8
LEGO Harry Potter: Years 5-7,6.664E8
Half-Life: Source,6.65E8
Craft The World,6.6185E8
AirMech Strike,6.615E8
Lost Castle,6.6075E8
Anno 2070,6.5925E8
Hitman: Blood Money,6.525E8
Duke Nukem Forever,6.51E8
~ Touhou Big Big Battle,6.49425E8
METAL GEAR RISING: REVENGEANCE,6.4725E8
Burnout Paradise: The Ultimate Box,6.465E8
Just Cause 2: Multiplayer Mod,6.465E8
L.A. Noire,6.42E8
Monaco: What's Yours Is Mine,6.405E8
The Isle,6.384E8
FINAL FANTASY XV WINDOWS EDITION,6.3825E8
Argo,6.37E8
IL-2 Sturmovik: 1946,6.342E8
SpeedRunners,6.315E8
Sniper Ghost Warrior 3,6.3E8
Aerofly FS 2 Flight Simulator,6.2839E8
Ultra Street Fighter IV,6.2625E8
Mount & Blade,6.225E8
Raft,6.195E8
Crispy Chicken,6.183E8
RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,6.1725E8
Crysis 2 - Maximum Edition,6.16E8
Kenshi,6.146E8
Company of Heroes - Legacy Edition,6.125E8
Vindictus,6.12E8
Trackmania Turbo,6.11925E8
X Rebirth,6.104E8
Earth 2160,6.075E8
Hearts of Iron III,6.0675E8
Amnesia: The Dark Descent,6.055E8
Sonic Adventure 2,6.0375E8
Dead Island Definitive Edition,6.0375E8
Airscape - The Fall of Gravity,6.013E8
Dungeons of Dredmor,6.0E8
Super LOH,5.9815E8
Thronebreaker: The Witcher Tales,5.9505E8
The Stanley Parable,5.95E8
Street Fighter V,5.9475E8
STAR WARS Empire at War - Gold Pack,5.925E8
Mist Survival,5.8875E8
100% Orange Juice,5.873E8
F.E.A.R.,5.835E8
Wreckfest,5.835E8
Overgrowth,5.8275E8
Forts,5.8135E8
BioShock 2 Remastered,5.81E8
Pathfinder: Kingmaker,5.747E8
F1 2018,5.736E8
EVGA Precision XOC,5.73E8
Danganronpa: Trigger Happy Havoc,5.726E8
TrackMania Canyon,5.6895E8
F1 2012,5.6805E8
Doki Doki Literature Club!,5.67E8
Two Point Hospital,5.6595E8
Dungeon Siege II,5.655E8
Quake Champions,5.655E8
Democracy 3,5.64E8
Fallen Enchantress: Legendary Heroes,5.635E8
Line of Sight,5.635E8
Soda Dungeon,5.6325E8
Might & Magic: Clash of Heroes,5.5825E8
Dust: An Elysian Tail,5.55E8
Thief II: The Metal Age,5.544E8
STAR WARS Republic Commando,5.535E8
Prey,5.535E8
Tyranny,5.495E8
Contagion,5.49E8
Tank Destroyer,5.47925E8
The Guild II Renaissance,5.446E8
Steep,5.43E8
Car Mechanic Simulator 2018,5.43E8
LEGO Worlds,5.4225E8
Steel Division: Normandy 44,5.4075E8
DG2: Defense Grid 2,5.4015E8
Idling to Rule the Gods,5.3955E8
Coloring Pixels,5.3935E8
Avorion,5.376E8
For The King,5.376E8
S.T.A.L.K.E.R.: Clear Sky,5.37E8
Tomb Raider: Legend,5.355E8
Fable Anniversary,5.31E8
Transistor,5.295E8
Crash Bandicoot N. Sane Trilogy,5.295E8
Farming Simulator 2013 Titanium Edition,5.2875E8
"Warhammer 40,000: Dawn of War III",5.28E8
Prototype 2,5.235E8
Skullgirls,5.205E8
Art of War: Red Tides,5.175E8
Worms Ultimate Mayhem,5.1675E8
Resident Evil Revelations / Biohazard Revelations,5.1225E8
